Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3, C4, C5, C6",0603,5,100nF,C14663
"C10, C11, C12, C13, C14, C15, C16, C8, C9",0603,9,470p,C1620
C17,0603,1,4n7,C1623
C2,0603,1,10uF,C19702
C7,0603,1,47nF,C1622
D13,0805,1,LED,
J1,DB9-TH_D-SUB-DR-9PCM-CB,1,Conn_01x11_Pin,C19077337
J3,DB9-TH_D-SUB-DR-9PCM-CB,1,Conn_01x11_Pin,C19077344
"R1, R11, R12, R13, R2, R5",0603,6,1K,C21190
R10,0603,1,1M,C22935
R14,0603,1,150,C22808
"R3, R4, R6, R7, R8, R9",0603,6,25K,C2828637
RV3,RES-ADJ-SMD_TC33X-2-104E,1,50K,C913246
SW1,SW-SMD_SS-3292S-L2-B,1,SS-3292S-L2-B,C500057
"TP1, TP2",Pin_D1.3mm_L11.0mm,2,TestPoint,
U1,TSSOP-20_4.4x6.5mm_P0.65mm,1,iC-NV,C5240841
U2,SOIC-16_L9.9-W3.9-P1.27-LS6.0-BL,1,MC3487N,C7309
